	Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	Final Grouping	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2	Unnamed: 50	Unnamed: 51
10	ERX10023335	ERR10508040	11/29/2022 1:14	12/18/2022 16:55	22577950.0	6773385000.0	22577950.0	300.0	2552.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508040/ERR10508040.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2003.0	ERP142718	PRJEB57729		906423.0	ERS14260716	SAMEA112150810	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150810							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	9BDF2675C001D27C5FA11B02141BF3D2	57FFED0F632239DB9D5FBDA0D04C4F40				
11	ERX10023336	ERR10508041	11/29/2022 1:14	12/18/2022 16:56	25344375.0	7603312500.0	25344375.0	300.0	2840.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508041/ERR10508041.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2004.0	ERP142718	PRJEB57729		906423.0	ERS14260717	SAMEA112150811	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150811							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	731A3E63D560A40B912BB301A0E55B20	A8FF2819D5D9DD91A6C8DFCA24D4FAAF				
12	ERX10023337	ERR10508042	11/29/2022 1:14	12/18/2022 16:54	20767764.0	6230329200.0	20767764.0	300.0	2308.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508042/ERR10508042.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2004.0	ERP142718	PRJEB57729		906423.0	ERS14260718	SAMEA112150812	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150812							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	1BBAC9EE12CA11D9C89A530F3E2B5641	C906BCAC282C958BB3698474F7E761C6				
13	ERX10023338	ERR10508043	11/29/2022 1:14	12/18/2022 17:01	23183046.0	6954913800.0	23183046.0	300.0	2582.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508043/ERR10508043.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2004.0	ERP142718	PRJEB57729		906423.0	ERS14260719	SAMEA112150813	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150813							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	272DB0B42495E96D7940AE215BDCCD50	53F9E479A2330F95E28DBC74FD78FA11				
14	ERX10023339	ERR10508044	11/29/2022 1:14	12/18/2022 16:54	23337670.0	7001301000.0	23337670.0	300.0	2605.0		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR010/10508/ERR10508044/ERR10508044.lite.1		RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	0.0	0.0	ILLUMINA	unspecified	2004.0	ERP142718	PRJEB57729		906423.0	ERS14260720	SAMEA112150814	simple	410289.0	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	SAMEA112150814							no					UNIVERSITY OF BIRMINGHAM	ERA18855638		public	A3D927E860AFC320E2532DE19F11B692	165860C621B1C21E949185C96E00DA60				
15	ERX1005429	ERR926154	6/24/2015 8:31	1/16/2016 22:35	5163204.0	774480600.0	5163204.0	150.0	446.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926154/ERR926154.sralite.1	13138910	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS635998	SAMEA3182814	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182814							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	808A0B6E0417A9FFF01C23204DF0A3C8	8CED33585DCA83D6FEA08A0650447B45				
16	ERX1005430	ERR926155	6/24/2015 8:31	1/16/2016 23:04	5177035.0	776555250.0	5177035.0	150.0	453.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926155/ERR926155.sralite.1	13138911	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS635999	SAMEA3182815	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182815							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	8FF9000CB86BE00710E539D348677458	3A7318C6A0A315C0C3856092206B7D9E				
17	ERX1005431	ERR926156	6/24/2015 8:31	1/16/2016 18:13	9928556.0	1489283400.0	9928556.0	150.0	892.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926156/ERR926156.sralite.1	13138912	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636000	SAMEA3182816	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182816							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	B35E04F8E3AD299F2A158CBB5901E2FA	AA8CC6B579D68EB2D52B660E3485FF94				
18	ERX1005432	ERR926157	6/24/2015 8:31	1/16/2016 13:32	7355631.0	1103344650.0	7355631.0	150.0	641.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926157/ERR926157.sralite.1	13138913	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636001	SAMEA3182817	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182817							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	0B8D220E09ADD370C5CCE2307C7985FA	CCC71737F5201790FC3A938DCC3FAA64				
19	ERX1005433	ERR926158	6/24/2015 8:31	1/16/2016 19:02	5417936.0	812690400.0	5417936.0	150.0	474.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926158/ERR926158.sralite.1	13138914	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636002	SAMEA3182818	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182818							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	3144B75F4ED7C0985FD7FB09E0D72478	2902703CA326EC0E1B4C164DBBB0978A				
20	ERX1005434	ERR926159	6/24/2015 8:31	1/16/2016 11:44	6024516.0	903677400.0	6024516.0	150.0	538.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926159/ERR926159.sralite.1	13138915	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636003	SAMEA3182819	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182819							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	86A8C12EE3452165B87AC79B521D2C3B	5141424F20DBEB5414F6C2D7FA2E488C				
21	ERX1005435	ERR926160	6/24/2015 8:31	1/16/2016 11:36	8068221.0	1210233150.0	8068221.0	150.0	703.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926160/ERR926160.sralite.1	13138916	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636004	SAMEA3182820	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182820							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	BE4224204561502F97DCC8932EBF04AC	31EA9D985F418ABFDA7B95FCA2FA9C0B				
22	ERX1005436	ERR926161	6/24/2015 8:31	1/16/2016 17:44	6217763.0	932664450.0	6217763.0	150.0	544.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926161/ERR926161.sralite.1	13138917	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636005	SAMEA3182821	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182821							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	AFFCA76F229B6CDDC95967A7E4853440	DDEF87933EAD0C2D68C4592CB258D161				
23	ERX1005437	ERR926162	6/24/2015 8:31	1/16/2016 18:10	8660004.0	1299000600.0	8660004.0	150.0	772.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926162/ERR926162.sralite.1	13138918	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636006	SAMEA3182822	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182822							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	1237D7ACBECD3C06911F722E88AD30FC	9A2E113C6396EF313266E70E0D9BE33B				
24	ERX1005438	ERR926163	6/24/2015 8:31	1/16/2016 17:18	5211305.0	781695750.0	5211305.0	150.0	449.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926163/ERR926163.sralite.1	13138919	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636007	SAMEA3182823	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182823							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	DBE07CC79F01AA4A8C5F770A05C99BEC	7DCCA80B8B9356AE3D36E533BBBABE0F				
25	ERX1005439	ERR926164	6/24/2015 8:31	1/16/2016 17:21	12008730.0	1801309500.0	12008730.0	150.0	1033.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926164/ERR926164.sralite.1	13138920	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636008	SAMEA3182824	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182824							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	6764395870BBC44D6A747EC9F06F1E99	856B0B4319EB4324B487B6BBBA18590A				
26	ERX1005440	ERR926165	6/24/2015 8:31	1/16/2016 15:44	11481245.0	1722186750.0	11481245.0	150.0	986.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926165/ERR926165.sralite.1	13138921	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636009	SAMEA3182825	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182825							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	48A460D64F8F9A753E2DA440D034B679	BF84BB94ADFB0085B0853F6C5C010F1A				
27	ERX1005441	ERR926166	6/24/2015 8:31	1/16/2016 21:23	4266397.0	639959550.0	4266397.0	150.0	262.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926166/ERR926166.sralite.1	13138922	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636010	SAMEA3182826	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182826							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	7CD9B8EE8A5C530B487A0126EB985E1F	4BC69624255ED955422D8F53B5A17B3E				
28	ERX1005442	ERR926167	6/24/2015 8:31	1/16/2016 11:38	10059143.0	1508871450.0	10059143.0	150.0	625.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926167/ERR926167.sralite.1	13138923	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636011	SAMEA3182827	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182827							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	5F1580EFEDE6346F97F5BEDC7AC43861	1A36C2DB8FC6BABCD718231B2C6BA33B				
29	ERX1005443	ERR926168	6/24/2015 8:31	1/16/2016 19:24	6782823.0	1017423450.0	6782823.0	150.0	416.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926168/ERR926168.sralite.1	13138924	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636012	SAMEA3182828	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182828							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	EB4ECDD41E1D7BBBA263E26020129FEE	B050D2E3B2DF8415C119EDDCA030F509				
30	ERX1005444	ERR926169	6/24/2015 8:31	1/16/2016 13:10	4956715.0	743507250.0	4956715.0	150.0	313.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926169/ERR926169.sralite.1	13138925	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636013	SAMEA3182829	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182829							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	5C5B8BE85E8435328D128AF00385A905	075F196262DD7890E39228609D898471				
31	ERX1005445	ERR926170	6/24/2015 8:31	1/16/2016 14:30	3640411.0	546061650.0	3640411.0	150.0	230.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926170/ERR926170.sralite.1	13138926	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636014	SAMEA3182830	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182830							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	49152FC1E8B3DB3564CB6A747D9B9347	848C40B12B0E11CB4490067B854C4808				
32	ERX1005446	ERR926171	6/24/2015 8:31	1/16/2016 13:31	8023448.0	1203517200.0	8023448.0	150.0	492.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926171/ERR926171.sralite.1	13138927	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636015	SAMEA3182831	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182831							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	A9F8BB16A7140534F067C5C47F5CCDEE	08068E115FD2E41B859E3ABAEB665D3F				
33	ERX1005447	ERR926172	6/24/2015 8:31	1/16/2016 13:13	4646837.0	697025550.0	4646837.0	150.0	291.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926172/ERR926172.sralite.1	13138928	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636016	SAMEA3182832	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182832							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	A54DC6A0232958C425DFE6EB06B33ED2	90FA825F7A9828E917DE5B5C0A1B81FC				
34	ERX1005448	ERR926173	6/24/2015 8:31	1/16/2016 18:11	7851736.0	1177760400.0	7851736.0	150.0	488.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926173/ERR926173.sralite.1	13138929	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636017	SAMEA3182833	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182833							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	EAD0ABF61256152C42655FEB05DFD543	480613D617EDF70BCED5CAB1DDCD233F				
35	ERX1005449	ERR926174	6/24/2015 8:31	1/16/2016 15:20	6693992.0	1004098800.0	6693992.0	150.0	426.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926174/ERR926174.sralite.1	13189859	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636018	SAMEA3182834	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182834							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	1EAB309D28CE1FD78A376BA84FC2EA5A	65DD84734BF1E5232352C490BF328C19				
36	ERX1005450	ERR926175	6/24/2015 8:31	1/16/2016 17:34	14321459.0	2148218850.0	14321459.0	150.0	947.0	GCA_000195955.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/926/ERR926175/ERR926175.sralite.1	13189860	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	550.0	0.0	ILLUMINA	Illumina HiSeq 2000	2005.0	ERP009144	PRJEB8106		287895.0	ERS636019	SAMEA3182835	simple	1773.0	Mycobacterium tuberculosis	SAMEA3182835							no					THE WELLCOME TRUST SANGER INSTITUTE	ERA450050		public	C070842BC34E2DAC591F3F56DF40917C	027113529332ECDDA72A594A0FA0D70D				
